community_id,n_nodes,n_edges,n_fraud_nodes,fraud_density,fraud_edge_ratio,high_risk_edge_ratio,drain_ratio,total_amount,avg_amount,avg_degree,density,internal_ratio,ring_score,ring_label
3239,3,2,1,0.3333,0.5,1.0,0.5,766827.42,383413.71,0.667,0.333333,1.0,0.5917,FRAUD_RING
102176,3,2,1,0.3333,0.5,1.0,0.5,1806131.29,903065.65,0.667,0.333333,1.0,0.5917,FRAUD_RING
66940,3,2,1,0.3333,0.5,1.0,0.5,886437.93,443218.97,0.667,0.333333,1.0,0.5917,FRAUD_RING
6019,3,2,1,0.3333,0.5,1.0,0.5,83139.51,41569.76,0.667,0.333333,1.0,0.5917,FRAUD_RING
68206,3,2,1,0.3333,0.5,1.0,0.5,216442.83,108221.42,0.667,0.333333,1.0,0.5917,FRAUD_RING
78263,3,2,1,0.3333,0.5,1.0,0.5,1105444.34,552722.17,0.667,0.333333,1.0,0.5917,FRAUD_RING
676,3,2,1,0.3333,0.5,1.0,0.5,1228627.48,614313.74,0.667,0.333333,1.0,0.5917,FRAUD_RING
83182,3,2,1,0.3333,0.5,1.0,0.5,281044.28,140522.14,0.667,0.333333,1.0,0.5917,FRAUD_RING
92978,3,2,1,0.3333,0.5,1.0,0.5,2073433.35,1036716.68,0.667,0.333333,1.0,0.5917,FRAUD_RING
153548,3,2,1,0.3333,0.5,1.0,0.5,647926.72,323963.36,0.667,0.333333,1.0,0.5917,FRAUD_RING
74757,3,2,1,0.3333,0.5,1.0,0.5,5332753.65,2666376.83,0.667,0.333333,1.0,0.5917,FRAUD_RING
56421,3,2,1,0.3333,0.5,1.0,0.5,1221573.01,610786.51,0.667,0.333333,1.0,0.5917,FRAUD_RING
5150,3,2,1,0.3333,0.5,1.0,0.5,1229542.17,614771.08,0.667,0.333333,1.0,0.5917,FRAUD_RING
62081,3,2,1,0.3333,0.5,1.0,0.5,2099070.55,1049535.27,0.667,0.333333,1.0,0.5917,FRAUD_RING
49241,4,3,1,0.25,0.3333,1.0,0.6667,1269875.67,423291.89,0.75,0.25,1.0,0.5542,FRAUD_RING
36091,4,3,1,0.25,0.3333,1.0,0.6667,2769784.05,923261.35,0.75,0.25,1.0,0.5542,FRAUD_RING
17343,4,3,1,0.25,0.3333,1.0,0.6667,502935.04,167645.01,0.75,0.25,1.0,0.5542,FRAUD_RING
123257,3,2,1,0.3333,0.5,0.5,0.5,1091725.55,545862.78,0.667,0.333333,1.0,0.5167,FRAUD_RING
92010,3,2,1,0.3333,0.5,0.5,0.5,346453.52,173226.76,0.667,0.333333,1.0,0.5167,FRAUD_RING
104538,3,2,1,0.3333,0.5,0.5,0.5,456114.63,228057.32,0.667,0.333333,1.0,0.5167,FRAUD_RING
142367,3,2,1,0.3333,0.5,0.5,0.5,590842.87,295421.43,0.667,0.333333,1.0,0.5167,FRAUD_RING
88041,3,2,1,0.3333,0.5,0.5,0.5,2193721.99,1096861.0,0.667,0.333333,1.0,0.5167,FRAUD_RING
67300,3,2,1,0.3333,0.5,0.5,0.5,1071343.3,535671.65,0.667,0.333333,1.0,0.5167,FRAUD_RING
160317,3,2,1,0.3333,0.5,0.5,0.5,220251.15,110125.57,0.667,0.333333,1.0,0.5167,FRAUD_RING
8657,3,2,1,0.3333,0.5,0.5,0.5,1294578.44,647289.22,0.667,0.333333,1.0,0.5167,FRAUD_RING
92310,3,2,1,0.3333,0.5,0.5,0.5,559556.11,279778.05,0.667,0.333333,1.0,0.5167,FRAUD_RING
156963,3,2,1,0.3333,0.5,0.5,0.5,273638.18,136819.09,0.667,0.333333,1.0,0.5167,FRAUD_RING
7362,3,2,1,0.3333,0.5,0.5,0.5,7635814.26,3817907.13,0.667,0.333333,1.0,0.5167,FRAUD_RING
204,3,2,1,0.3333,0.5,0.5,0.5,2082273.75,1041136.88,0.667,0.333333,1.0,0.5167,FRAUD_RING
21922,4,3,1,0.25,0.3333,0.6667,0.6667,219267.86,73089.29,0.75,0.25,1.0,0.5042,FRAUD_RING
56055,4,3,1,0.25,0.3333,0.6667,0.6667,1167266.21,389088.74,0.75,0.25,1.0,0.5042,FRAUD_RING
52083,4,3,1,0.25,0.3333,0.6667,0.6667,568563.33,189521.11,0.75,0.25,1.0,0.5042,FRAUD_RING
115203,4,3,1,0.25,0.3333,0.6667,0.6667,3609387.52,1203129.17,0.75,0.25,1.0,0.5042,FRAUD_RING
96555,4,3,1,0.25,0.3333,0.6667,0.3333,1931923.1,643974.37,0.75,0.25,1.0,0.4542,FRAUD_RING
32641,3,2,0,0.0,0.0,1.0,1.0,438141.78,219070.89,0.667,0.333333,1.0,0.45,FRAUD_RING
34593,3,2,0,0.0,0.0,1.0,1.0,385327.63,192663.82,0.667,0.333333,1.0,0.45,FRAUD_RING
34608,3,2,0,0.0,0.0,1.0,1.0,977544.42,488772.21,0.667,0.333333,1.0,0.45,FRAUD_RING
124849,3,2,0,0.0,0.0,1.0,1.0,465630.63,232815.32,0.667,0.333333,1.0,0.45,FRAUD_RING
171101,3,2,0,0.0,0.0,1.0,1.0,387133.81,193566.9,0.667,0.333333,1.0,0.45,FRAUD_RING
171168,3,2,0,0.0,0.0,1.0,1.0,1945311.21,972655.6,0.667,0.333333,1.0,0.45,FRAUD_RING
80713,3,2,0,0.0,0.0,1.0,1.0,127305.4,63652.7,0.667,0.333333,1.0,0.45,FRAUD_RING
124979,3,2,0,0.0,0.0,1.0,1.0,634081.04,317040.52,0.667,0.333333,1.0,0.45,FRAUD_RING
126854,3,2,0,0.0,0.0,1.0,1.0,820635.67,410317.83,0.667,0.333333,1.0,0.45,FRAUD_RING
126903,3,2,0,0.0,0.0,1.0,1.0,626800.14,313400.07,0.667,0.333333,1.0,0.45,FRAUD_RING
32566,3,2,0,0.0,0.0,1.0,1.0,778231.16,389115.58,0.667,0.333333,1.0,0.45,FRAUD_RING
32775,3,2,0,0.0,0.0,1.0,1.0,1603888.77,801944.39,0.667,0.333333,1.0,0.45,FRAUD_RING
32513,3,2,0,0.0,0.0,1.0,1.0,166954.84,83477.42,0.667,0.333333,1.0,0.45,FRAUD_RING
32530,3,2,0,0.0,0.0,1.0,1.0,280072.78,140036.39,0.667,0.333333,1.0,0.45,FRAUD_RING
34918,3,2,0,0.0,0.0,1.0,1.0,1295258.74,647629.37,0.667,0.333333,1.0,0.45,FRAUD_RING
32465,3,2,0,0.0,0.0,1.0,1.0,132750.82,66375.41,0.667,0.333333,1.0,0.45,FRAUD_RING
34980,3,2,0,0.0,0.0,1.0,1.0,369277.09,184638.55,0.667,0.333333,1.0,0.45,FRAUD_RING
35006,3,2,0,0.0,0.0,1.0,1.0,534423.21,267211.6,0.667,0.333333,1.0,0.45,FRAUD_RING
35011,3,2,0,0.0,0.0,1.0,1.0,599627.47,299813.73,0.667,0.333333,1.0,0.45,FRAUD_RING
32356,3,2,0,0.0,0.0,1.0,1.0,105507.0,52753.5,0.667,0.333333,1.0,0.45,FRAUD_RING
85787,4,3,0,0.0,0.0,1.0,1.0,657490.22,219163.41,0.75,0.25,1.0,0.45,FRAUD_RING
93505,3,2,0,0.0,0.0,1.0,1.0,762735.29,381367.65,0.667,0.333333,1.0,0.45,FRAUD_RING
80493,3,2,0,0.0,0.0,1.0,1.0,576238.46,288119.23,0.667,0.333333,1.0,0.45,FRAUD_RING
35196,3,2,0,0.0,0.0,1.0,1.0,418218.58,209109.29,0.667,0.333333,1.0,0.45,FRAUD_RING
35249,3,2,0,0.0,0.0,1.0,1.0,688156.86,344078.43,0.667,0.333333,1.0,0.45,FRAUD_RING
124316,3,2,0,0.0,0.0,1.0,1.0,1273320.3,636660.15,0.667,0.333333,1.0,0.45,FRAUD_RING
124358,3,2,0,0.0,0.0,1.0,1.0,166170.26,83085.13,0.667,0.333333,1.0,0.45,FRAUD_RING
32111,3,2,0,0.0,0.0,1.0,1.0,331831.61,165915.81,0.667,0.333333,1.0,0.45,FRAUD_RING
32204,3,2,0,0.0,0.0,1.0,1.0,357735.7,178867.85,0.667,0.333333,1.0,0.45,FRAUD_RING
32211,3,2,0,0.0,0.0,1.0,1.0,653829.93,326914.96,0.667,0.333333,1.0,0.45,FRAUD_RING
35473,3,2,0,0.0,0.0,1.0,1.0,105020.28,52510.14,0.667,0.333333,1.0,0.45,FRAUD_RING
35499,3,2,0,0.0,0.0,1.0,1.0,7972522.27,3986261.13,0.667,0.333333,1.0,0.45,FRAUD_RING
127220,3,2,0,0.0,0.0,1.0,1.0,1826036.8,913018.4,0.667,0.333333,1.0,0.45,FRAUD_RING
124219,3,2,0,0.0,0.0,1.0,1.0,945257.04,472628.52,0.667,0.333333,1.0,0.45,FRAUD_RING
31787,3,2,0,0.0,0.0,1.0,1.0,301085.03,150542.52,0.667,0.333333,1.0,0.45,FRAUD_RING
31812,3,2,0,0.0,0.0,1.0,1.0,548621.49,274310.74,0.667,0.333333,1.0,0.45,FRAUD_RING
80265,3,2,0,0.0,0.0,1.0,1.0,4217789.56,2108894.78,0.667,0.333333,1.0,0.45,FRAUD_RING
613,3,2,0,0.0,0.0,1.0,1.0,1113722.47,556861.23,0.667,0.333333,1.0,0.45,FRAUD_RING
634,3,2,0,0.0,0.0,1.0,1.0,1064706.52,532353.26,0.667,0.333333,1.0,0.45,FRAUD_RING
786,3,2,0,0.0,0.0,1.0,1.0,437197.96,218598.98,0.667,0.333333,1.0,0.45,FRAUD_RING
93503,3,2,0,0.0,0.0,1.0,1.0,454999.46,227499.73,0.667,0.333333,1.0,0.45,FRAUD_RING
31731,3,2,0,0.0,0.0,1.0,1.0,518238.81,259119.41,0.667,0.333333,1.0,0.45,FRAUD_RING
127449,3,2,0,0.0,0.0,1.0,1.0,448861.67,224430.83,0.667,0.333333,1.0,0.45,FRAUD_RING
85443,3,2,0,0.0,0.0,1.0,1.0,132230.34,66115.17,0.667,0.333333,1.0,0.45,FRAUD_RING
91104,3,2,0,0.0,0.0,1.0,1.0,354581.44,177290.72,0.667,0.333333,1.0,0.45,FRAUD_RING
127744,3,2,0,0.0,0.0,1.0,1.0,2066224.77,1033112.39,0.667,0.333333,1.0,0.45,FRAUD_RING
35730,3,2,0,0.0,0.0,1.0,1.0,540486.77,270243.39,0.667,0.333333,1.0,0.45,FRAUD_RING
123914,3,2,0,0.0,0.0,1.0,1.0,375245.81,187622.9,0.667,0.333333,1.0,0.45,FRAUD_RING
35884,3,2,0,0.0,0.0,1.0,1.0,400719.33,200359.66,0.667,0.333333,1.0,0.45,FRAUD_RING
36096,3,2,0,0.0,0.0,1.0,1.0,313247.55,156623.77,0.667,0.333333,1.0,0.45,FRAUD_RING
35930,3,2,0,0.0,0.0,1.0,1.0,175134.69,87567.35,0.667,0.333333,1.0,0.45,FRAUD_RING
123766,3,2,0,0.0,0.0,1.0,1.0,482775.79,241387.89,0.667,0.333333,1.0,0.45,FRAUD_RING
708,3,2,0,0.0,0.0,1.0,1.0,661228.4,330614.2,0.667,0.333333,1.0,0.45,FRAUD_RING
732,3,2,0,0.0,0.0,1.0,1.0,1643372.31,821686.16,0.667,0.333333,1.0,0.45,FRAUD_RING
127993,3,2,0,0.0,0.0,1.0,1.0,373420.16,186710.08,0.667,0.333333,1.0,0.45,FRAUD_RING
31328,3,2,0,0.0,0.0,1.0,1.0,547229.11,273614.55,0.667,0.333333,1.0,0.45,FRAUD_RING
123544,3,2,0,0.0,0.0,1.0,1.0,148455.68,74227.84,0.667,0.333333,1.0,0.45,FRAUD_RING
31249,3,2,0,0.0,0.0,1.0,1.0,446360.17,223180.08,0.667,0.333333,1.0,0.45,FRAUD_RING
36289,3,2,0,0.0,0.0,1.0,1.0,664004.14,332002.07,0.667,0.333333,1.0,0.45,FRAUD_RING
36411,3,2,0,0.0,0.0,1.0,1.0,464093.11,232046.55,0.667,0.333333,1.0,0.45,FRAUD_RING
31096,3,2,0,0.0,0.0,1.0,1.0,3478163.43,1739081.72,0.667,0.333333,1.0,0.45,FRAUD_RING
31102,3,2,0,0.0,0.0,1.0,1.0,968906.74,484453.37,0.667,0.333333,1.0,0.45,FRAUD_RING
36495,3,2,0,0.0,0.0,1.0,1.0,471154.71,235577.36,0.667,0.333333,1.0,0.45,FRAUD_RING
123295,4,3,0,0.0,0.0,1.0,1.0,791029.79,263676.6,0.75,0.25,1.0,0.45,FRAUD_RING
79924,3,2,0,0.0,0.0,1.0,1.0,988595.71,494297.85,0.667,0.333333,1.0,0.45,FRAUD_RING
169970,3,2,0,0.0,0.0,1.0,1.0,621753.39,310876.7,0.667,0.333333,1.0,0.45,FRAUD_RING
746,4,3,0,0.0,0.0,1.0,1.0,426639.21,142213.07,0.75,0.25,1.0,0.45,FRAUD_RING
36733,3,2,0,0.0,0.0,1.0,1.0,313560.71,156780.35,0.667,0.333333,1.0,0.45,FRAUD_RING
31014,3,2,0,0.0,0.0,1.0,1.0,536085.12,268042.56,0.667,0.333333,1.0,0.45,FRAUD_RING
85335,3,2,0,0.0,0.0,1.0,1.0,401604.91,200802.46,0.667,0.333333,1.0,0.45,FRAUD_RING
85426,3,2,0,0.0,0.0,1.0,1.0,1293617.94,646808.97,0.667,0.333333,1.0,0.45,FRAUD_RING
36877,3,2,0,0.0,0.0,1.0,1.0,737567.06,368783.53,0.667,0.333333,1.0,0.45,FRAUD_RING
123046,3,2,0,0.0,0.0,1.0,1.0,189840.86,94920.43,0.667,0.333333,1.0,0.45,FRAUD_RING
90891,3,2,0,0.0,0.0,1.0,1.0,824410.02,412205.01,0.667,0.333333,1.0,0.45,FRAUD_RING
37099,3,2,0,0.0,0.0,1.0,1.0,269945.82,134972.91,0.667,0.333333,1.0,0.45,FRAUD_RING
36994,3,2,0,0.0,0.0,1.0,1.0,889165.63,444582.81,0.667,0.333333,1.0,0.45,FRAUD_RING
37000,3,2,0,0.0,0.0,1.0,1.0,793031.13,396515.57,0.667,0.333333,1.0,0.45,FRAUD_RING
122906,3,2,0,0.0,0.0,1.0,1.0,162903.23,81451.61,0.667,0.333333,1.0,0.45,FRAUD_RING
123033,3,2,0,0.0,0.0,1.0,1.0,469471.43,234735.72,0.667,0.333333,1.0,0.45,FRAUD_RING
128472,3,2,0,0.0,0.0,1.0,1.0,305102.48,152551.24,0.667,0.333333,1.0,0.45,FRAUD_RING
128534,3,2,0,0.0,0.0,1.0,1.0,407445.97,203722.98,0.667,0.333333,1.0,0.45,FRAUD_RING
37186,3,2,0,0.0,0.0,1.0,1.0,204089.36,102044.68,0.667,0.333333,1.0,0.45,FRAUD_RING
37216,3,2,0,0.0,0.0,1.0,1.0,743913.11,371956.55,0.667,0.333333,1.0,0.45,FRAUD_RING
79767,3,2,0,0.0,0.0,1.0,1.0,527119.57,263559.79,0.667,0.333333,1.0,0.45,FRAUD_RING
79806,3,2,0,0.0,0.0,1.0,1.0,801106.52,400553.26,0.667,0.333333,1.0,0.45,FRAUD_RING
79842,3,2,0,0.0,0.0,1.0,1.0,313728.36,156864.18,0.667,0.333333,1.0,0.45,FRAUD_RING
37252,3,2,0,0.0,0.0,1.0,1.0,775955.28,387977.64,0.667,0.333333,1.0,0.45,FRAUD_RING
122892,3,2,0,0.0,0.0,1.0,1.0,481825.79,240912.9,0.667,0.333333,1.0,0.45,FRAUD_RING
30749,3,2,0,0.0,0.0,1.0,1.0,808676.56,404338.28,0.667,0.333333,1.0,0.45,FRAUD_RING
30756,3,2,0,0.0,0.0,1.0,1.0,132043.83,66021.91,0.667,0.333333,1.0,0.45,FRAUD_RING
37300,3,2,0,0.0,0.0,1.0,1.0,718624.63,359312.32,0.667,0.333333,1.0,0.45,FRAUD_RING
122657,3,2,0,0.0,0.0,1.0,1.0,677615.73,338807.86,0.667,0.333333,1.0,0.45,FRAUD_RING
30333,3,2,0,0.0,0.0,1.0,1.0,576619.28,288309.64,0.667,0.333333,1.0,0.45,FRAUD_RING
122704,3,2,0,0.0,0.0,1.0,1.0,444980.29,222490.15,0.667,0.333333,1.0,0.45,FRAUD_RING
37732,3,2,0,0.0,0.0,1.0,1.0,747332.78,373666.39,0.667,0.333333,1.0,0.45,FRAUD_RING
37761,3,2,0,0.0,0.0,1.0,1.0,473734.1,236867.05,0.667,0.333333,1.0,0.45,FRAUD_RING
37767,3,2,0,0.0,0.0,1.0,1.0,2235005.5,1117502.75,0.667,0.333333,1.0,0.45,FRAUD_RING
37773,3,2,0,0.0,0.0,1.0,1.0,3447471.95,1723735.98,0.667,0.333333,1.0,0.45,FRAUD_RING
30152,3,2,0,0.0,0.0,1.0,1.0,4896193.65,2448096.83,0.667,0.333333,1.0,0.45,FRAUD_RING
37781,3,2,0,0.0,0.0,1.0,1.0,674432.75,337216.38,0.667,0.333333,1.0,0.45,FRAUD_RING
93792,3,2,0,0.0,0.0,1.0,1.0,332316.68,166158.34,0.667,0.333333,1.0,0.45,FRAUD_RING
79643,3,2,0,0.0,0.0,1.0,1.0,2368661.92,1184330.96,0.667,0.333333,1.0,0.45,FRAUD_RING
868,3,2,0,0.0,0.0,1.0,1.0,109027.61,54513.81,0.667,0.333333,1.0,0.45,FRAUD_RING
122441,3,2,0,0.0,0.0,1.0,1.0,2875338.9,1437669.45,0.667,0.333333,1.0,0.45,FRAUD_RING
122473,3,2,0,0.0,0.0,1.0,1.0,442168.35,221084.17,0.667,0.333333,1.0,0.45,FRAUD_RING
122511,3,2,0,0.0,0.0,1.0,1.0,335281.55,167640.78,0.667,0.333333,1.0,0.45,FRAUD_RING
129286,3,2,0,0.0,0.0,1.0,1.0,504045.54,252022.77,0.667,0.333333,1.0,0.45,FRAUD_RING
30040,3,2,0,0.0,0.0,1.0,1.0,1874038.51,937019.26,0.667,0.333333,1.0,0.45,FRAUD_RING
122228,3,2,0,0.0,0.0,1.0,1.0,421400.54,210700.27,0.667,0.333333,1.0,0.45,FRAUD_RING
81091,3,2,0,0.0,0.0,1.0,1.0,261728.15,130864.08,0.667,0.333333,1.0,0.45,FRAUD_RING
1014,3,2,0,0.0,0.0,1.0,1.0,587188.87,293594.43,0.667,0.333333,1.0,0.45,FRAUD_RING
129254,3,2,0,0.0,0.0,1.0,1.0,236308.52,118154.26,0.667,0.333333,1.0,0.45,FRAUD_RING
38046,3,2,0,0.0,0.0,1.0,1.0,878640.13,439320.07,0.667,0.333333,1.0,0.45,FRAUD_RING
85184,3,2,0,0.0,0.0,1.0,1.0,2023420.11,1011710.05,0.667,0.333333,1.0,0.45,FRAUD_RING
38125,3,2,0,0.0,0.0,1.0,1.0,426170.54,213085.27,0.667,0.333333,1.0,0.45,FRAUD_RING
129468,3,2,0,0.0,0.0,1.0,1.0,2017965.63,1008982.82,0.667,0.333333,1.0,0.45,FRAUD_RING
29903,3,2,0,0.0,0.0,1.0,1.0,521984.26,260992.13,0.667,0.333333,1.0,0.45,FRAUD_RING
30102,3,2,0,0.0,0.0,1.0,1.0,311326.02,155663.01,0.667,0.333333,1.0,0.45,FRAUD_RING
122179,4,3,0,0.0,0.0,1.0,1.0,2162978.27,720992.76,0.75,0.25,1.0,0.45,FRAUD_RING
38197,3,2,0,0.0,0.0,1.0,1.0,262922.21,131461.11,0.667,0.333333,1.0,0.45,FRAUD_RING
29812,3,2,0,0.0,0.0,1.0,1.0,241514.3,120757.15,0.667,0.333333,1.0,0.45,FRAUD_RING
38287,3,2,0,0.0,0.0,1.0,1.0,427283.43,213641.72,0.667,0.333333,1.0,0.45,FRAUD_RING
29681,3,2,0,0.0,0.0,1.0,1.0,279540.11,139770.05,0.667,0.333333,1.0,0.45,FRAUD_RING
29729,3,2,0,0.0,0.0,1.0,1.0,1064478.56,532239.28,0.667,0.333333,1.0,0.45,FRAUD_RING
79357,3,2,0,0.0,0.0,1.0,1.0,293979.06,146989.53,0.667,0.333333,1.0,0.45,FRAUD_RING
79392,3,2,0,0.0,0.0,1.0,1.0,745605.6,372802.8,0.667,0.333333,1.0,0.45,FRAUD_RING
79511,3,2,0,0.0,0.0,1.0,1.0,726256.66,363128.33,0.667,0.333333,1.0,0.45,FRAUD_RING
121912,3,2,0,0.0,0.0,1.0,1.0,889821.91,444910.95,0.667,0.333333,1.0,0.45,FRAUD_RING
121893,3,2,0,0.0,0.0,1.0,1.0,11160402.09,5580201.04,0.667,0.333333,1.0,0.45,FRAUD_RING
121904,3,2,0,0.0,0.0,1.0,1.0,250694.9,125347.45,0.667,0.333333,1.0,0.45,FRAUD_RING
29569,3,2,0,0.0,0.0,1.0,1.0,573226.39,286613.2,0.667,0.333333,1.0,0.45,FRAUD_RING
38549,3,2,0,0.0,0.0,1.0,1.0,702653.61,351326.81,0.667,0.333333,1.0,0.45,FRAUD_RING
121708,3,2,0,0.0,0.0,1.0,1.0,416956.55,208478.28,0.667,0.333333,1.0,0.45,FRAUD_RING
29420,3,2,0,0.0,0.0,1.0,1.0,188469.47,94234.74,0.667,0.333333,1.0,0.45,FRAUD_RING
29429,3,2,0,0.0,0.0,1.0,1.0,494592.62,247296.31,0.667,0.333333,1.0,0.45,FRAUD_RING
38688,3,2,0,0.0,0.0,1.0,1.0,377336.96,188668.48,0.667,0.333333,1.0,0.45,FRAUD_RING
90811,3,2,0,0.0,0.0,1.0,1.0,386255.36,193127.68,0.667,0.333333,1.0,0.45,FRAUD_RING
91254,3,2,0,0.0,0.0,1.0,1.0,582480.54,291240.27,0.667,0.333333,1.0,0.45,FRAUD_RING
129788,3,2,0,0.0,0.0,1.0,1.0,483444.33,241722.16,0.667,0.333333,1.0,0.45,FRAUD_RING
129854,3,2,0,0.0,0.0,1.0,1.0,564190.41,282095.21,0.667,0.333333,1.0,0.45,FRAUD_RING
38808,3,2,0,0.0,0.0,1.0,1.0,111475.25,55737.62,0.667,0.333333,1.0,0.45,FRAUD_RING
38812,3,2,0,0.0,0.0,1.0,1.0,602906.75,301453.38,0.667,0.333333,1.0,0.45,FRAUD_RING
79246,3,2,0,0.0,0.0,1.0,1.0,1275116.02,637558.01,0.667,0.333333,1.0,0.45,FRAUD_RING
93985,3,2,0,0.0,0.0,1.0,1.0,1128481.98,564240.99,0.667,0.333333,1.0,0.45,FRAUD_RING
79323,3,2,0,0.0,0.0,1.0,1.0,339419.92,169709.96,0.667,0.333333,1.0,0.45,FRAUD_RING
1212,3,2,0,0.0,0.0,1.0,1.0,238524.46,119262.23,0.667,0.333333,1.0,0.45,FRAUD_RING
168029,3,2,0,0.0,0.0,1.0,1.0,757128.7,378564.35,0.667,0.333333,1.0,0.45,FRAUD_RING
38820,3,2,0,0.0,0.0,1.0,1.0,331416.89,165708.45,0.667,0.333333,1.0,0.45,FRAUD_RING
121457,3,2,0,0.0,0.0,1.0,1.0,113692.17,56846.08,0.667,0.333333,1.0,0.45,FRAUD_RING
29187,3,2,0,0.0,0.0,1.0,1.0,1595822.42,797911.21,0.667,0.333333,1.0,0.45,FRAUD_RING
39257,3,2,0,0.0,0.0,1.0,1.0,420717.05,210358.52,0.667,0.333333,1.0,0.45,FRAUD_RING
29010,3,2,0,0.0,0.0,1.0,1.0,173856.93,86928.46,0.667,0.333333,1.0,0.45,FRAUD_RING
29014,3,2,0,0.0,0.0,1.0,1.0,415261.75,207630.88,0.667,0.333333,1.0,0.45,FRAUD_RING
39298,3,2,0,0.0,0.0,1.0,1.0,877869.43,438934.71,0.667,0.333333,1.0,0.45,FRAUD_RING
39354,3,2,0,0.0,0.0,1.0,1.0,533643.16,266821.58,0.667,0.333333,1.0,0.45,FRAUD_RING
39369,3,2,0,0.0,0.0,1.0,1.0,328380.39,164190.2,0.667,0.333333,1.0,0.45,FRAUD_RING
130335,3,2,0,0.0,0.0,1.0,1.0,599478.91,299739.45,0.667,0.333333,1.0,0.45,FRAUD_RING
28917,3,2,0,0.0,0.0,1.0,1.0,104593.21,52296.6,0.667,0.333333,1.0,0.45,FRAUD_RING
28987,3,2,0,0.0,0.0,1.0,1.0,512220.21,256110.11,0.667,0.333333,1.0,0.45,FRAUD_RING
39401,3,2,0,0.0,0.0,1.0,1.0,194360.34,97180.17,0.667,0.333333,1.0,0.45,FRAUD_RING
39410,3,2,0,0.0,0.0,1.0,1.0,250446.11,125223.05,0.667,0.333333,1.0,0.45,FRAUD_RING
39412,4,3,0,0.0,0.0,1.0,1.0,1209364.32,403121.44,0.75,0.25,1.0,0.45,FRAUD_RING
168193,3,2,0,0.0,0.0,1.0,1.0,316308.29,158154.14,0.667,0.333333,1.0,0.45,FRAUD_RING
1283,3,2,0,0.0,0.0,1.0,1.0,186457.54,93228.77,0.667,0.333333,1.0,0.45,FRAUD_RING
1510,3,2,0,0.0,0.0,1.0,1.0,471754.9,235877.45,0.667,0.333333,1.0,0.45,FRAUD_RING
1513,3,2,0,0.0,0.0,1.0,1.0,779857.23,389928.61,0.667,0.333333,1.0,0.45,FRAUD_RING
1517,3,2,0,0.0,0.0,1.0,1.0,543026.0,271513.0,0.667,0.333333,1.0,0.45,FRAUD_RING
94018,3,2,0,0.0,0.0,1.0,1.0,860070.86,430035.43,0.667,0.333333,1.0,0.45,FRAUD_RING
39569,3,2,0,0.0,0.0,1.0,1.0,146324.82,73162.41,0.667,0.333333,1.0,0.45,FRAUD_RING
28891,3,2,0,0.0,0.0,1.0,1.0,494298.87,247149.43,0.667,0.333333,1.0,0.45,FRAUD_RING
39653,3,2,0,0.0,0.0,1.0,1.0,687418.0,343709.0,0.667,0.333333,1.0,0.45,FRAUD_RING
90729,3,2,0,0.0,0.0,1.0,1.0,231265.29,115632.65,0.667,0.333333,1.0,0.45,FRAUD_RING
167229,3,2,0,0.0,0.0,1.0,1.0,289946.28,144973.14,0.667,0.333333,1.0,0.45,FRAUD_RING
78763,3,2,0,0.0,0.0,1.0,1.0,375465.25,187732.62,0.667,0.333333,1.0,0.45,FRAUD_RING
